Area name,SOC code,SOC title,Est. empl.,Avg. wage,25th P,50th P,75th P,Annual wage,,Index
"Lewiston, ID-WA",43-9061,"Office Clerks, General",476,$19.31,$15.34,$18.17,$21.66,"$40,170",,
"Lewiston, ID-WA",47-2073,Operating Engineers and Other Construction Equipment Operators,167,$27.04,$23.44,$27.71,$29.48,"$56,240",,
"Lewiston, ID-WA",29-2081,"Opticians, Dispensing",21,$20.99,$16.69,$17.87,$24.58,"$43,650",,
"Lewiston, ID-WA",53-7064,"Packers and Packagers, Hand",56,$17.23,$16.17,$18.00,$18.00,"$35,840",,
"Lewiston, ID-WA",47-2141,"Painters, Construction and Maintenance",46,$18.95,$15.30,$17.64,$22.58,"$39,410",,
"Lewiston, ID-WA",51-9196,"Paper Goods Machine Setters, Operators, and Tenders",234,$27.44,$21.60,$25.75,$32.24,"$57,060",,
"Lewiston, ID-WA",23-2011,Paralegals and Legal Assistants,41,$23.97,$18.94,$23.19,$29.83,"$49,860",,
"Lewiston, ID-WA",53-6021,Parking Attendants,20,$15.22,$14.33,$14.42,$17.30,"$31,660",,
"Lewiston, ID-WA",41-2022,Parts Salespersons,69,$18.76,$14.63,$18.35,$22.43,"$39,010",,
"Lewiston, ID-WA",43-3051,Payroll and Timekeeping Clerks,23,$22.16,$17.73,$23.39,$25.91,"$46,090",,
"Lewiston, ID-WA",13-2052,Personal Financial Advisors,23,$45.64,$21.94,$34.53,$55.55,"$94,940",,
"Lewiston, ID-WA",29-1051,Pharmacists,75,$62.05,$57.16,$64.66,$69.17,"$129,060",,
"Lewiston, ID-WA",29-2052,Pharmacy Technicians,99,$20.23,$17.47,$18.53,$22.50,"$42,090",,
"Lewiston, ID-WA",31-9097,Phlebotomists,81,$19.89,$17.62,$18.81,$22.75,"$41,360",,
"Lewiston, ID-WA",31-2022,Physical Therapist Aides,19,$15.51,$13.75,$14.18,$14.49,"$32,250",,
"Lewiston, ID-WA",31-2021,Physical Therapist Assistants,39,$27.10,$23.64,$27.35,$29.12,"$56,360",,
"Lewiston, ID-WA",29-1123,Physical Therapists,59,$41.80,$36.77,$38.92,$46.39,"$86,950",,
"Lewiston, ID-WA",29-1071,Physician Assistants,33,$52.35,$35.56,$55.10,$62.02,"$108,890",,
"Lewiston, ID-WA",29-1229,"Physicians, All Other",52,$124.67,$104.74,$104.91,-,"$259,310",,
"Lewiston, ID-WA",47-2151,Pipelayers,23,$29.13,$23.53,$32.29,$32.29,"$60,600",,
"Lewiston, ID-WA",47-2152,"Plumbers, Pipefitters, and Steamfitters",89,$31.14,$21.66,$29.90,$39.06,"$64,780",,
"Lewiston, ID-WA",33-3051,Police and Sheriff's Patrol Officers,144,$30.43,$26.95,$29.53,$32.16,"$63,300",,
"Lewiston, ID-WA",43-5051,Postal Service Clerks,12,$25.70,$19.12,$26.45,$30.28,"$53,460",,
"Lewiston, ID-WA",43-5052,Postal Service Mail Carriers,60,$27.07,$19.42,$26.20,$34.30,"$56,300",,
"Lewiston, ID-WA",25-2011,"Preschool Teachers, Except Special Education",74,$14.77,$13.63,$14.49,$16.50,"$30,730",,
"Lewiston, ID-WA",21-1092,Probation Officers and Correctional Treatment Specialists,31,$26.62,$21.04,$24.41,$29.75,"$55,360",,
"Lewiston, ID-WA",51-9199,"Production Workers, All Other",30,$18.22,$15.46,$15.46,$22.16,"$37,900",,
"Lewiston, ID-WA",43-5061,"Production, Planning, and Expediting Clerks",49,$31.13,$21.02,$27.97,$38.41,"$64,740",,
"Lewiston, ID-WA",13-1082,Project Management Specialists,73,$37.97,$30.69,$34.68,$39.83,"$78,970",,
"Lewiston, ID-WA",11-9141,"Property, Real Estate, and Community Association Managers",22,$28.12,$19.68,$24.30,$30.16,"$58,490",,
"Lewiston, ID-WA",33-9099,"Protective Service Workers, All Other",17,$21.26,$15.97,$22.22,$25.83,"$44,220",,
"Lewiston, ID-WA",27-3031,Public Relations Specialists,25,$26.39,$22.72,$23.60,$30.28,"$54,880",,
"Lewiston, ID-WA",29-2034,Radiologic Technologists and Technicians,61,$30.86,$27.22,$30.64,$34.88,"$64,180",,
"Lewiston, ID-WA",43-4171,Receptionists and Information Clerks,250,$16.16,$14.49,$16.50,$17.57,"$33,610",,
"Lewiston, ID-WA",39-9032,Recreation Workers,69,$14.84,$10.89,$14.37,$16.81,"$30,870",,
"Lewiston, ID-WA",53-7081,Refuse and Recyclable Material Collectors,29,$20.14,$16.69,$20.60,$22.70,"$41,890",,
"Lewiston, ID-WA",29-1141,Registered Nurses,585,$38.21,$34.50,$37.00,$45.73,"$79,470",,
"Lewiston, ID-WA",21-1015,Rehabilitation Counselors,40,$25.03,$18.43,$26.17,$29.68,"$52,070",,
"Lewiston, ID-WA",41-2031,Retail Salespersons,755,$18.37,$13.77,$14.93,$17.90,"$38,200",,
"Lewiston, ID-WA",47-2181,Roofers,32,$20.08,$18.55,$19.34,$22.55,"$41,770",,
"Lewiston, ID-WA",11-2022,Sales Managers,72,$71.12,$45.20,$62.08,$89.02,"$147,940",,
"Lewiston, ID-WA",41-3091,"Sales Reps. of Svcs., Exc. Advertising, Insurance, Financial Svcs., & Travel",99,$29.83,$19.71,$25.42,$37.64,"$62,050",,
"Lewiston, ID-WA",41-4012,"Sales Reps/Wholesale/Mfg, Except Tech/Science Products",209,$31.75,$19.18,$26.62,$38.60,"$66,040",,
"Lewiston, ID-WA",51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",75,$23.11,$19.84,$22.77,$24.07,"$48,070",,
"Lewiston, ID-WA",25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",202,-,-,-,-,"$63,660",,
"Lewiston, ID-WA",43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",347,$19.45,$16.12,$18.62,$23.03,"$40,460",,
"Lewiston, ID-WA",41-3031,"Securities, Commodities, and Financial Services Sales Agents",46,$32.41,$19.06,$26.42,$33.44,"$67,400",,
"Lewiston, ID-WA",33-9032,Security Guards,66,$16.91,$13.59,$15.38,$18.08,"$35,170",,
"Lewiston, ID-WA",43-5071,"Shipping, Receiving, and Inventory Clerks",154,$20.86,$15.12,$19.36,$24.54,"$43,400",,
"Lewiston, ID-WA",53-3053,Shuttle Drivers and Chauffeurs,37,$16.42,$14.12,$15.40,$19.08,"$34,150",,
"Lewiston, ID-WA",39-5094,Skincare Specialists,22,$19.11,$15.92,$16.48,$18.66,"$39,750",,
"Lewiston, ID-WA",11-9151,Social and Community Service Managers,27,$32.03,$22.53,$30.36,$37.24,"$66,630",,
"Lewiston, ID-WA",21-1093,Social and Human Service Assistants,86,$19.12,$16.80,$18.46,$21.34,"$39,770",,
"Lewiston, ID-WA",15-1252,Software Developers,54,$48.02,$38.83,$49.49,$59.91,"$99,880",,
"Lewiston, ID-WA",25-2052,"Special Education Teachers, Kindergarten and Elementary School",21,-,-,-,-,"$69,560",,
"Lewiston, ID-WA",25-2058,"Special Education Teachers, Secondary School",23,-,-,-,-,"$58,440",,
"Lewiston, ID-WA",29-1127,Speech-Language Pathologists,31,$36.78,$32.90,$36.44,$44.38,"$76,500",,
"Lewiston, ID-WA",53-7065,Stockers and Order Fillers,382,$16.88,$15.87,$16.36,$17.85,"$35,110",,
"Lewiston, ID-WA",21-1018,"Substance abuse, behavioral disorder, and mental health counselors",94,$28.44,$21.76,$29.28,$35.16,"$59,150",,
"Lewiston, ID-WA",25-3031,"Substitute Teachers, Short-Term",104,$21.20,$11.02,$11.02,$19.83,"$44,100",,
"Lewiston, ID-WA",29-9093,Surgical Assistants,11,$24.64,$19.11,$28.41,$28.50,"$51,260",,
"Lewiston, ID-WA",17-3031,Surveying and Mapping Technicians,15,$25.81,$22.18,$24.45,$28.27,"$53,690",,
"Lewiston, ID-WA",25-9045,"Teaching Assistants, Except Postsecondary",330,-,-,-,-,"$34,240",,
"Lewiston, ID-WA",49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",25,$31.80,$28.42,$32.40,$35.95,"$66,140",,
"Lewiston, ID-WA",43-3071,Tellers,105,$18.21,$16.49,$18.00,$18.76,"$37,890",,
"Lewiston, ID-WA",49-3093,Tire Repairers and Changers,56,$18.01,$17.12,$17.33,$19.28,"$37,460",,
"Lewiston, ID-WA",39-7010,Tour and travel guides,18,$30.98,$12.74,$23.22,$30.15,"$64,430",,
"Lewiston, ID-WA",13-1151,Training and Development Specialists,72,$25.26,$16.18,$22.71,$28.92,"$52,540",,
"Lewiston, ID-WA",11-3071,"Transportation, Storage, and Distribution Managers",12,$50.84,$43.11,$51.19,$61.17,"$105,740",,
"Lewiston, ID-WA",53-1047,Transportation/ Material-Moving Supervisors/No Aircraft Cargo Handling Supervisors,71,$29.46,$21.23,$28.88,$35.61,"$61,280",,
"Lewiston, ID-WA",19-3051,Urban and Regional Planners,22,$31.67,$29.05,$30.54,$38.69,"$65,870",,
"Lewiston, ID-WA",29-1131,Veterinarians,20,$51.25,$40.14,$48.97,$59.83,"$106,590",,
"Lewiston, ID-WA",35-3031,Waiters and Waitresses,303,$15.84,$10.59,$14.49,$16.91,"$32,940",,
"Lewiston, ID-WA",51-8031,Water and Wastewater Treatment Plant and System Operators,59,$25.55,$23.74,$24.36,$29.35,"$53,150",,
"Lewiston, ID-WA",15-1255,Web and Digital Interface Designers,14,$34.60,$25.15,$37.83,$45.37,"$71,960",,
"Lewiston, ID-WA",51-4121,"Welders, Cutters, Solderers, and Brazers",275,$25.44,$21.50,$25.94,$29.36,"$52,910",,
"Lewiston, ID-WA",51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",43,$21.59,$19.26,$20.11,$23.21,"$44,910",,
"Lewiston, ID-WA",19-1023,Zoologists and Wildlife Biologists,33,$31.23,$27.08,$30.92,$35.82,"$64,950",,
"Longview, WA",13-2011,Accountants and Auditors,319,$38.66,$28.79,$36.82,$47.41,"$80,410",,
"Longview, WA",11-3012,Administrative Services Managers,10,$57.88,$47.74,$56.59,$68.67,"$120,380",,
"Longview, WA",41-3011,Advertising Sales Agents,21,$30.04,$18.26,$25.75,$31.25,"$62,470",,
"Longview, WA",45-2011,Agricultural Inspectors,30,$25.96,$24.72,$24.72,$28.00,"$53,990",,
"Longview, WA",39-3091,Amusement and Recreation Attendants,20,$15.85,$14.75,$15.58,$16.87,"$32,970",,
"Longview, WA",39-2021,Animal Caretakers,61,$17.53,$14.91,$15.83,$16.89,"$36,470",,
"Longview, WA",17-3011,Architectural and Civil Drafters,21,$26.38,$23.63,$24.95,$28.16,"$54,880",,
"Longview, WA",11-9041,Architectural and Engineering Managers,31,$73.09,$64.37,$73.13,$81.25,"$152,020",,
"Longview, WA",53-6031,Automotive and Watercraft Service Attendants,52,$16.86,$15.81,$16.36,$17.79,"$35,060",,
"Longview, WA",49-3021,Automotive Body and Related Repairers,20,$20.27,$18.25,$20.31,$21.00,"$42,150",,
"Longview, WA",49-3023,Automotive Service Technicians and Mechanics,198,$24.61,$17.39,$22.82,$29.02,"$51,180",,
"Longview, WA",51-3011,Bakers,49,$17.72,$16.51,$17.39,$18.73,"$36,860",,
"Longview, WA",35-3011,Bartenders,162,$23.64,$15.97,$20.61,$32.80,"$49,180",,
"Longview, WA",43-3021,Billing and Posting Clerks,124,$22.77,$18.68,$22.29,$24.65,"$47,360",,
"Longview, WA",19-4021,Biological Technicians,13,$20.79,$18.13,$20.87,$23.78,"$43,230",,
"Longview, WA",43-3031,"Bookkeeping, Accounting, and Auditing Clerks",500,$24.38,$20.41,$23.59,$27.15,"$50,710",,
"Longview, WA",49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,117,$29.98,$25.00,$31.03,$33.57,"$62,360",,
"Longview, WA",53-3051,"Bus Drivers, School",201,$24.59,$24.27,$24.27,$25.41,"$51,150",,
"Longview, WA",13-1199,"Business Operations Specialists, All Other",213,$35.17,$26.92,$32.44,$39.27,"$73,160",,
"Longview, WA",51-3021,Butchers and Meat Cutters,41,$21.42,$19.22,$22.66,$23.50,"$44,550",,
"Longview, WA",13-1020,Buyers and Purchasing Agents,152,$35.50,$28.64,$33.62,$40.50,"$73,840",,
"Longview, WA",51-7011,Cabinetmakers and Bench Carpenters,42,$21.34,$17.38,$19.98,$24.87,"$44,390",,
"Longview, WA",25-2023,"Career/Technical Education Teachers, Middle School",11,-,-,-,-,"$85,230",,
"Longview, WA",25-1194,"Career/Technical Education Teachers, Postsecondary",88,$28.88,$23.35,$27.46,$31.15,"$60,060",,
"Longview, WA",25-2032,"Career/Technical Education Teachers, Secondary School",41,-,-,-,-,"$76,150",,
"Longview, WA",47-2031,Carpenters,332,$30.36,$23.21,$28.59,$34.90,"$63,140",,
"Longview, WA",41-2011,Cashiers,"1,025",$16.31,$14.91,$15.51,$17.00,"$33,910",,
"Longview, WA",47-2051,Cement Masons and Concrete Finishers,55,$30.50,$22.32,$28.85,$35.29,"$63,440",,
"Longview, WA",17-2041,Chemical Engineers,12,$46.52,$38.49,$47.97,$50.33,"$96,760",,
"Longview, WA",51-9011,Chemical Equipment Operators and Tenders,156,$38.25,$30.26,$41.81,$45.62,"$79,550",,
"Longview, WA",19-2031,Chemists,34,$38.79,$31.50,$31.50,$41.65,"$80,690",,
"Longview, WA",11-1011,Chief Executives,28,$130.27,$83.54,$98.29,-,"$270,960",,
"Longview, WA",21-1021,"Child, Family, and School Social Workers",137,$29.34,$23.99,$30.09,$34.11,"$61,020",,
"Longview, WA",39-9011,Childcare Workers,39,$17.34,$15.48,$17.40,$18.62,"$36,080",,
"Longview, WA",29-1011,Chiropractors,14,$35.35,$20.51,$29.31,$39.54,"$73,520",,
"Longview, WA",17-3022,Civil Engineering Technologists and Technicians,21,$31.96,$30.16,$31.45,$34.45,"$66,470",,
"Longview, WA",17-2051,Civil Engineers,64,$41.60,$35.74,$39.42,$47.79,"$86,520",,
"Longview, WA",13-1031,"Claims Adjusters, Examiners, and Investigators",21,$42.07,$37.46,$42.01,$44.91,"$87,500",,
"Longview, WA",53-7061,Cleaners of Vehicles and Equipment,144,$17.80,$15.64,$17.27,$19.72,"$37,020",,
"Longview, WA",29-2010,Clinical Laboratory Technologists and Technicians,60,$30.16,$21.70,$27.50,$37.47,"$62,720",,
"Longview, WA",27-2022,Coaches and Scouts,138,-,-,-,-,"$52,510",,
"Longview, WA",51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",63,$25.46,$19.32,$23.12,$30.57,"$52,960",,
"Longview, WA",21-1099,"Community and Social Service Specialists, All Other",56,$24.41,$15.84,$20.24,$30.08,"$50,770",,
"Longview, WA",21-1094,Community Health Workers,32,$22.98,$17.10,$22.32,$27.13,"$47,800",,
"Longview, WA",13-1141,"Compensation, Benefits, and Job Analysis Specialists",14,$38.26,$27.29,$35.19,$46.07,"$79,580",,
"Longview, WA",13-1041,Compliance Officers,62,$36.87,$30.16,$36.60,$42.82,"$76,690",,
"Longview, WA",11-3021,Computer and Information Systems Managers,48,$68.36,$50.38,$65.09,$79.70,"$142,180",,
"Longview, WA",15-1241,Computer Network Architects,26,$54.84,$46.73,$54.77,$59.65,"$114,060",,
"Longview, WA",15-1231,Computer Network Support Specialists,33,$35.76,$26.46,$37.93,$42.17,"$74,380",,
"Longview, WA",51-9161,Computer Numerically Controlled Tool Operators,30,$21.53,$18.62,$20.29,$22.76,"$44,780",,
"Longview, WA",51-9162,Computer Numerically Controlled Tool Programmers,14,$32.33,$26.80,$33.00,$36.35,"$67,250",,
"Longview, WA",15-1299,"Computer Occupations, All Other",-,$45.84,$31.99,$47.57,$59.97,"$95,340",,
"Longview, WA",15-1251,Computer Programmers,22,$45.66,$44.18,$44.18,$44.18,"$94,980",,
"Longview, WA",15-1211,Computer Systems Analysts,46,$50.76,$43.19,$48.35,$58.60,"$105,570",,
"Longview, WA",15-1232,Computer User Support Specialists,109,$34.12,$27.59,$32.06,$38.32,"$70,970",,
"Longview, WA",47-4011,Construction and Building Inspectors,20,$37.06,$30.94,$39.26,$43.90,"$77,090",,
"Longview, WA",47-2061,Construction Laborers,424,$26.76,$18.45,$23.00,$35.51,"$55,670",,
"Longview, WA",11-9021,Construction Managers,89,$55.60,$45.48,$50.49,$60.79,"$115,640",,
"Longview, WA",35-2011,"Cooks, Fast Food",123,$15.97,$14.93,$15.71,$16.66,"$33,220",,
"Longview, WA",35-2012,"Cooks, Institution and Cafeteria",115,$19.65,$17.11,$19.51,$21.96,"$40,870",,
"Longview, WA",35-2014,"Cooks, Restaurant",292,$18.69,$17.08,$17.63,$20.98,"$38,880",,
"Longview, WA",33-3012,Correctional Officers and Jailers,105,$27.82,$24.65,$29.92,$29.92,"$57,870",,
"Longview, WA",13-1051,Cost Estimators,76,$39.63,$31.07,$37.92,$47.73,"$82,420",,
"Longview, WA",41-2021,Counter and Rental Clerks,147,$18.94,$16.26,$17.30,$21.21,"$39,400",,
"Longview, WA",43-4031,"Court, Municipal, and License Clerks",81,$25.81,$24.63,$24.63,$27.68,"$53,690",,
"Longview, WA",53-7021,Crane and Tower Operators,28,$37.82,$29.57,$36.34,$45.21,"$78,670",,
"Longview, WA",13-2041,Credit Analysts,11,$45.55,$28.85,$41.21,$50.75,"$94,750",,
"Longview, WA",33-9091,Crossing Guards and Flaggers,17,$23.74,$16.36,$23.50,$29.46,"$49,380",,
"Longview, WA",43-4051,Customer Service Representatives,438,$21.14,$16.07,$19.12,$23.86,"$43,980",,
"Longview, WA",51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",34,$23.65,$21.12,$24.62,$26.37,"$49,190",,
"Longview, WA",51-4031,"Cutting, Punching, & Press Machine Setters, Operators, & Tenders, Metal & Plastic",45,$25.44,$22.02,$23.24,$31.37,"$52,920",,
"Longview, WA",43-9021,Data Entry Keyers,13,$21.23,$17.35,$20.30,$22.72,"$44,160",,
"Longview, WA",31-9091,Dental Assistants,157,$22.75,$20.08,$22.75,$23.72,"$47,320",,
"Longview, WA",29-1292,Dental Hygienists,89,$50.66,$47.37,$48.87,$57.87,"$105,380",,
"Longview, WA",29-1021,"Dentists, General",42,-,-,-,-,-,,
"Longview, WA",29-2032,Diagnostic Medical Sonographers,18,$48.71,$48.91,$48.91,$50.40,"$101,310",,
"Longview, WA",29-1031,Dietitians and Nutritionists,16,$32.85,$29.15,$31.02,$37.05,"$68,340",,
"Longview, WA",35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,37,$16.47,$14.96,$16.05,$16.69,"$34,260",,
"Longview, WA",35-9021,Dishwashers,111,$16.51,$14.92,$16.13,$16.61,"$34,340",,
"Longview, WA",43-5032,"Dispatchers, Except Police, Fire, and Ambulance",81,$27.37,$22.22,$26.29,$30.97,"$56,930",,
"Longview, WA",53-3031,Driver/Sales Workers,89,$21.59,$15.24,$19.92,$23.94,"$44,910",,
"Longview, WA",47-5023,"Earth Drillers, Except Oil and Gas",28,$37.46,$27.50,$39.87,$47.73,"$77,910",,
"Longview, WA",11-9032,"Education Administrators, Kindergarten through Secondary",79,-,-,-,-,"$131,210",,
"Longview, WA",11-9033,"Education Administrators, Postsecondary",19,$48.87,$41.00,$41.00,$50.13,"$101,640",,
"Longview, WA",21-1012,"Educational, Guidance, and Career Counselors and Advisors",72,$36.18,$30.73,$33.75,$40.15,"$75,260",,
"Longview, WA",17-3023,Electrical and Electronic Engineering Technologists and Technicians,36,$34.62,$31.50,$35.71,$37.80,"$72,010",,
"Longview, WA",49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",30,$44.10,$37.96,$37.97,$58.57,"$91,730",,
"Longview, WA",17-2071,Electrical Engineers,42,$54.67,$45.45,$53.21,$62.25,"$113,710",,
"Longview, WA",49-9051,Electrical Power-Line Installers and Repairers,89,$46.67,$35.87,$51.36,$56.57,"$97,070",,
"Longview, WA",51-2028,Electrical/Electronic/Electromechanical Assemblers Only,12,$24.04,$20.89,$23.17,$28.76,"$50,010",,
"Longview, WA",47-2111,Electricians,286,$38.18,$29.54,$37.89,$45.93,"$79,410",,
"Longview, WA",17-2072,"Electronics Engineers, Except Computer",13,$52.95,$45.88,$49.76,$54.95,"$110,140",,
"Longview, WA",25-2021,"Elementary School Teachers, Except Special Education",475,-,-,-,-,"$77,020",,
"Longview, WA",43-4061,"Eligibility Interviewers, Government Programs",76,$26.75,$24.97,$26.69,$29.43,"$55,630",,
"Longview, WA",17-2081,Environmental Engineers,12,$52.93,$43.73,$52.15,$57.22,"$110,100",,
"Longview, WA",19-2041,"Environmental Scientists and Specialists, Including Health",23,$39.25,$31.39,$37.24,$39.10,"$81,640",,
"Longview, WA",43-6011,Executive Secretaries and Executive Administrative Assistants,61,$32.31,$29.20,$33.74,$36.96,"$67,200",,
"Longview, WA",39-9031,Exercise Trainers and Group Fitness Instructors,52,$26.22,$18.00,$26.50,$27.25,"$54,530",,
"Longview, WA",11-3013,Facilities Managers,26,$62.75,$50.23,$60.77,$71.57,"$130,520",,
"Longview, WA",45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",38,$19.14,$17.14,$17.20,$20.68,"$39,810",,
"Longview, WA",35-3023,Fast Food and Counter Workers,"1,366",$15.94,$14.90,$15.21,$16.44,"$33,160",,
"Longview, WA",43-4071,File Clerks,16,$18.75,$14.83,$19.76,$21.84,"$38,990",,
"Longview, WA",13-2051,Financial and Investment Analysts,16,$44.04,$33.30,$46.12,$52.25,"$91,610",,
"Longview, WA",11-3031,Financial Managers,87,$72.31,$55.25,$65.76,$82.63,"$150,410",,
"Longview, WA",13-2099,"Financial Specialists, All Other",22,$41.33,$23.71,$28.58,$39.01,"$85,970",,
"Longview, WA",33-2011,Firefighters,50,$30.10,$21.36,$31.07,$38.82,"$62,620",,
"Longview, WA",47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,303,$47.28,$36.90,$46.79,$56.13,"$98,340",,
"Longview, WA",33-1011,First-Line Supervisors of Correctional Officers,14,$39.38,$38.03,$38.03,$40.14,"$81,910",,
"Longview, WA",45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",27,$39.02,$31.69,$34.97,$45.81,"$81,160",,
"Longview, WA",33-1021,First-Line Supervisors of Firefighting and Prevention Workers,24,$45.13,$41.89,$46.81,$49.80,"$93,870",,
"Longview, WA",35-1012,First-Line Supervisors of Food Preparation and Serving Workers,407,$21.48,$17.26,$20.78,$23.35,"$44,670",,
"Longview, WA",37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,38,$24.01,$18.06,$20.48,$29.09,"$49,950",,
"Longview, WA",37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",16,$29.55,$22.35,$29.56,$36.57,"$61,450",,
"Longview, WA",49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",243,$43.91,$30.96,$43.94,$58.77,"$91,330",,
"Longview, WA",41-1012,First-Line Supervisors of Non-Retail Sales Workers,30,$41.06,$30.88,$36.29,$45.31,"$85,410",,
"Longview, WA",43-1011,First-Line Supervisors of Office and Administrative Support Workers,332,$33.79,$27.29,$32.33,$39.49,"$70,270",,
"Longview, WA",39-1022,First-Line Supervisors of Personal Service Workers,16,$24.21,$19.30,$22.31,$26.80,"$50,360",,
"Longview, WA",33-1012,First-Line Supervisors of Police and Detectives,36,$51.89,$48.74,$51.43,$56.48,"$107,920",,
"Longview, WA",51-1011,First-Line Supervisors of Production and Operating Workers,393,$40.71,$29.07,$38.73,$52.85,"$84,680",,
"Longview, WA",41-1011,First-Line Supervisors of Retail Sales Workers,406,$24.31,$18.36,$22.11,$28.52,"$50,560",,
"Longview, WA",27-1023,Floral Designers,11,$18.51,$16.77,$19.03,$20.67,"$38,500",,
"Longview, WA",51-3092,Food Batchmakers,41,$18.89,$16.27,$17.10,$23.10,"$39,290",,
"Longview, WA",35-2021,Food Preparation Workers,203,$17.37,$16.22,$16.90,$18.14,"$36,130",,
"Longview, WA",35-3041,"Food Servers, Nonrestaurant",71,$16.57,$15.75,$16.27,$16.79,"$34,470",,
"Longview, WA",11-9051,Food Service Managers,19,$39.09,$27.53,$38.29,$48.33,"$81,310",,
"Longview, WA",19-1032,Foresters,22,$39.18,$31.69,$39.91,$48.07,"$81,490",,
"Longview, WA",51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",33,$28.91,$26.22,$28.77,$34.46,"$60,120",,
"Longview, WA",11-1021,General and Operations Managers,572,$59.90,$38.94,$52.30,$74.87,"$124,590",,
"Longview, WA",27-1024,Graphic Designers,13,$26.90,$18.70,$22.22,$32.85,"$55,960",,
"Longview, WA",51-4033,"Grind/Lap/Polish/Buff. Mach. Tool Setters, Oprs, & Tenders, Metal & Plastic",22,$21.41,$17.79,$21.08,$23.92,"$44,530",,
"Longview, WA",39-5012,"Hairdressers, Hairstylists, and Cosmetologists",102,$20.09,$17.73,$20.46,$21.21,"$41,780",,
"Longview, WA",21-1022,Healthcare Social Workers,49,$32.25,$28.72,$35.22,$35.55,"$67,080",,
"Longview, WA",31-9099,"Healthcare Support Workers, All Other",57,$25.64,$20.11,$26.80,$29.39,"$53,320",,
"Longview, WA",49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",100,$28.93,$22.25,$28.83,$33.96,"$60,170",,
"Longview, WA",53-3032,Heavy and Tractor-Trailer Truck Drivers,769,$27.19,$23.75,$27.00,$28.74,"$56,560",,
"Longview, WA",49-9098,"Helpers--Installation, Maintenance, and Repair Workers",51,$23.79,$18.30,$26.59,$27.38,"$49,480",,
"Longview, WA",51-9198,Helpers--Production Workers,97,$19.75,$16.64,$17.46,$23.06,"$41,080",,
"Longview, WA",47-4051,Highway Maintenance Workers,30,$28.55,$27.33,$27.33,$28.40,"$59,380",,
"Longview, WA",49-9031,Home Appliance Repairers,12,$25.82,$22.51,$25.75,$27.00,"$53,710",,
"Longview, WA",31-1120,Home Health and Personal Care Aides,"1,622",$17.31,$16.27,$16.40,$18.10,"$36,000",,
"Longview, WA",43-4081,"Hotel, Motel, and Resort Desk Clerks",77,$16.29,$14.86,$15.39,$16.09,"$33,880",,
"Longview, WA",43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",23,$23.72,$21.18,$24.25,$28.41,"$49,340",,
"Longview, WA",11-3121,Human Resources Managers,38,$65.34,$49.62,$61.76,$73.59,"$135,910",,
"Longview, WA",13-1071,Human Resources Specialists,157,$35.22,$27.91,$34.85,$41.17,"$73,250",,
"Longview, WA",17-2112,Industrial Engineers,77,$49.54,$41.32,$47.09,$60.30,"$103,040",,
"Longview, WA",49-9041,Industrial Machinery Mechanics,541,$37.88,$31.97,$38.61,$42.60,"$78,790",,
"Longview, WA",11-3051,Industrial Production Managers,94,$66.56,$54.99,$65.19,$74.78,"$138,450",,
"Longview, WA",53-7051,Industrial Truck and Tractor Operators,295,$22.90,$19.02,$22.62,$27.60,"$47,620",,
"Longview, WA",43-4199,"Information and Record Clerks, All Other",30,$20.71,$17.97,$19.56,$23.98,"$43,080",,
"Longview, WA",51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",182,$25.42,$18.51,$24.27,$29.75,"$52,870",,
"Longview, WA",49-9099,"Installation, Maintenance, and Repair Workers, All Other",24,$23.10,$17.57,$21.85,$25.81,"$48,040",,
"Longview, WA",25-9031,Instructional Coordinators,27,$40.98,$28.73,$45.49,$49.47,"$85,230",,
"Longview, WA",41-3021,Insurance Sales Agents,70,$27.87,$18.15,$24.32,$29.82,"$57,970",,
"Longview, WA",37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",518,$18.91,$15.80,$17.32,$21.99,"$39,330",,
"Longview, WA",23-1023,"Judges, Magistrate Judges, and Magistrates",14,$65.56,$47.99,$55.75,$81.41,"$136,360",,
"Longview, WA",25-2012,"Kindergarten Teachers, Except Special Education",74,-,-,-,-,"$75,440",,
